"","phrase","coefficient"
"966","educ men",-0.0087
"967","maria kelley",-0.0085
"968","tricar cost",-0.0085
"969","local justic",-0.0084
"970","either structur",-0.0083
"971","american popul",-0.0082
"972","build stimulus",-0.0082
"973","africanamerican children",-0.0081
"974","intend focus",-0.008
"975","1976 amend",-0.0079
"976","health disast",-0.0079
"977","secur intern",-0.0079
"978","state hit",-0.0079
"979","statesth recalcul",-0.0079
"980","charon kuiper",-0.0078
"981","help lower",-0.0078
"982","level african",-0.0078
"983","match particip",-0.0077
"984","mexico pay",-0.0077
"985","overal invest",-0.0077
"986","shutdown last",-0.0077
"987","archbishop skylstad",-0.0075
"988","fight global",-0.0075
"989","lgbt research",-0.0075
"990","ryan budget",-0.0075
"991","yet open",-0.0075
"992","asian small",-0.0074
"993","financi aid",-0.0074
"994","full reporta",-0.0074
"995","live poverti",-0.0074
"996","seen sort",-0.0074
"997","document undocu",-0.0073
"998","educ center",-0.0073
"999","process plagu",-0.0072
"1000","recent won",-0.0072
"1001","coverag substanc",-0.0071
"1002","job growth",-0.0071
"1003","similar 48",-0.0071
"1004","decreas subsidi",-0.007
"1005","vote union",-0.007
"1006","rate african",-0.0069
"1007","vulner popul",-0.0069
"1008","progressthank noreen",-0.0067
"1009","communiti also",-0.0066
"1010","everi woman",-0.0066
"1011","intim partner",-0.0066
"1012","netanyahu sign",-0.0066
"1013","07 first",-0.0065
"1014","grassley ria",-0.0065
"1015","noth confront",-0.0065
"1016","temporari protect",-0.0065
"1017","children ideolog",-0.0064
"1018","short financi",-0.0063
"1019","armi iraq",-0.0062
"1020","big oil",-0.0061
"1021","church america",-0.006
"1022","corp site",-0.006
"1023","health key",-0.006
"1024","african american",-0.0059
"1025","fact women",-0.0059
"1026","outrag condemn",-0.0058
"1027","poor put",-0.0058
"1028","stay adap",-0.0058
"1029","understand deep",-0.0058
"1030","million largest",-0.0057
"1031","lake state",-0.0056
"1032","applaud senat",-0.0055
"1033","pay period",-0.0055
"1034","among landlord",-0.0054
"1035","bachelor degre",-0.0053
"1036","curios 2012the",-0.0053
"1037","appetit curb",-0.0052
"1038","presid barack",-0.0052
"1039","new parent",-0.0051
"1040","signific step",-0.0051
"1041","100 mozambiqu",-0.005
"1042","growth boost",-0.005
"1043","hispan surround",-0.005
"1044","threat climat",-0.005
"1045","arent hire",-0.0049
"1046","attitud make",-0.0049
"1047","key better",-0.0049
"1048","live experi",-0.0049
"1049","anew mr",-0.0048
"1050","drink water",-0.0048
"1051","guantnamobrief close",-0.0048
"1052","american cathol",-0.0047
"1053","coordin help",-0.0047
"1054","faith progress",-0.0047
"1055","access comprehens",-0.0046
"1056","coast oil",-0.0046
"1057","offici cross",-0.0045
"1058","among defaultersborrow",-0.0044
"1059","can help",-0.0044
"1060","current credit",-0.0043
"1061","unemploy benefit",-0.0043
"1062","10point plan",-0.0042
"1063","lost past",-0.0042
"1064","need figur",-0.0042
"1065","secur et",-0.0042
"1066","benefit serv",-0.0041
"1067","communiti point",-0.0041
"1068","research associ",-0.0041
"1069","fourth quarter",-0.004
"1070","rok introduc",-0.004
"1071","fuel industri",-0.0039
"1072","assist hivaid",-0.0038
"1073","immigr live",-0.0038
"1074","ukrain investig",-0.0038
"1075","cooper senior",-0.0037
"1076","current tilt",-0.0037
"1077","make around",-0.0036
"1078","answer lord",-0.0035
"1079","ensur healthi",-0.0035
"1080","repres yesterday",-0.0035
"1081","cathol candid",-0.0034
"1082","lowwag worker",-0.0034
"1083","1993800the approxim",-0.0033
"1084","lesbian still",-0.0033
"1085","refus bring",-0.0033
"1086","trade arab",-0.0033
"1087","address need",-0.0032
"1088","anchor evid",-0.0032
"1089","econom recoveri",-0.0032
"1090","anoth ploy",-0.0031
"1091","percent decemb",-0.0031
"1092","answer crocker",-0.003
"1093","area chemic",-0.003
"1094","communic vice",-0.003
"1095","equal nation",-0.003
"1096","screen counsel",-0.003
"1097","anchor iraq",-0.0029
"1098","bush administr",-0.0029
"1099","program iranian",-0.0029
"1100","behind outdat",-0.0028
"1101","defund plan",-0.0028
"1102","made volunt",-0.0028
"1103","past year",-0.0028
"1104","impact climat",-0.0027
"1105","302 percent",-0.0026
"1106","area louisiana",-0.0026
"1107","cant afford",-0.0026
"1108","align progress",-0.0025
"1109","emiss requir",-0.0025
"1110","good pledg",-0.0025
"1111","across countri",-0.0024
"1112","drought australia",-0.0023
"1113","strengthen presid",-0.0023
"1114","trio provid",-0.0023
"1115","treati conveni",-0.0022
"1116","curb carbon",-0.0021
"1117","moon charon",-0.0021
"1118","similaritiestak medicar",-0.0021
"1119","baghdad despit",-0.002
"1120","iran clean",-0.002
"1121","access contracept",-0.0019
"1122","backgroundaft near",-0.0019
"1123","chung vice",-0.0019
"1124","despit drop",-0.0019
"1125","percent african",-0.0019
"1126","sector ad",-0.0019
"1127","portion bush",-0.0018
"1128","life even",-0.0017
"1129","mean gasp",-0.0017
"1130","f schulz",-0.0016
"1131","former newspap",-0.0016
"1132","auto mortgag",-0.0015
"1133","cawthorn research",-0.0015
"1134","first kaiser",-0.0015
"1135","gas compani",-0.0015
"1136","outcom monitor",-0.0015
"1137","brian katuli",-0.0014
"1138","emot attitud",-0.0014
"1139","eros current",-0.0014
"1140","pace ship",-0.0014
"1141","windfal armi",-0.0014
"1142","assur freedomsinclud",-0.0013
"1143","equiti final",-0.0013
"1144","faith group",-0.0013
"1145","religi leader",-0.0013
"1146","unemploy insur",-0.0013
"1147","abus iraqisin",-0.0012
"1148","attack increment",-0.0012
"1149","aveng abus",-0.0012
"1150","director intern",-0.0012
"1151","iran leader",-0.0012
"1152","katherin blakeley",-0.0012
"1153","local employ",-0.0012
"1154","protect worker",-0.0012
"1155","ratesmor research",-0.0012
"1156","rise subprim",-0.0012
"1157","27857 student",-0.0011
"1158","assist pew",-0.0011
"1159","attack advoc",-0.0011
"1160","beginningship build",-0.0011
"1161","nation seven",-0.0011
"1162","abus interrogationscongress",-0.001
"1163","air public",-0.001
"1164","appear calcul",-0.001
"1165","array grow",-0.001
"1166","assistanceimpl futur",-0.001
"1167","author 10point",-0.001
"1168","better neither",-0.001
"1169","better preparedth",-0.001
"1170","chairmen need",-0.001
"1171","hand metric",-0.001
"1172","statist bls",-0.001
"1173","250 even",-0.0009
"1174","341000 rental",-0.0009
"1175","appreci special",-0.0009
"1176","attacksmor time",-0.0009
"1177","barrier fcc",-0.0009
"1178","instil strong",-0.0009
"1179","pander christian",-0.0009
"1180","receiv 6035",-0.0009
"1181","virginia insur",-0.0009
"1182","week small",-0.0009
"1183","zelenski investig",-0.0009
"1184","6000 weapon",-0.0008
"1185","abdul raufnot",-0.0008
"1186","balanc associ",-0.0008
"1187","behavior toughoncrim",-0.0008
"1188","globesinc congress",-0.0008
"1189","higher personnel",-0.0008
"1190","hinder america",-0.0008
"1191","hometh public",-0.0008
"1192","inventori 24",-0.0008
"1193","lowincom elementari",-0.0008
"1194","million 2001yet",-0.0008
"1195","novoa polici",-0.0008
"1196","path oilrich",-0.0008
"1197","recess state",-0.0008
"1198","secur team",-0.0008
"1199","action honest",-0.0007
"1200","ask martin",-0.0007
"1201","back kid",-0.0007
"1202","behavior percept",-0.0007
"1203","borut execut",-0.0007
"1204","certainti compet",-0.0007
"1205","children wake",-0.0007
"1206","column updat",-0.0007
"1207","expedi selfright",-0.0007
"1208","fundament biblic",-0.0007
"1209","joint respond",-0.0007
"1210","ploy elect",-0.0007
"1211","teacher explor",-0.0007
"1212","25 percentw",-0.0006
"1213","abus scandalsat",-0.0006
"1214","action fallen",-0.0006
"1215","america familiesread",-0.0006
"1216","american dreamwhen",-0.0006
"1217","attack child",-0.0006
"1218","bacon member",-0.0006
"1219","balanc climat",-0.0006
"1220","bill iowa",-0.0006
"1221","borrow particular",-0.0006
"1222","call cow",-0.0006
"1223","correct popul",-0.0006
"1224","draw hand",-0.0006
"1225","drive undocu",-0.0006
"1226","educ land",-0.0006
"1227","exampl center",-0.0006
"1228","highest loantovalu",-0.0006
"1229","iraq amount",-0.0006
"1230","legal retributionin",-0.0006
"1231","litig seek",-0.0006
"1232","mainten 29",-0.0006
"1233","marta cook",-0.0006
"1234","offens affront",-0.0006
"1235","outbreak although",-0.0006
"1236","relat deepsea",-0.0006
"1237","singh vice",-0.0006
"1238","univers rural",-0.0006
"1239","236 state",-0.0005
"1240","30 jordan",-0.0005
"1241","american gulliv",-0.0005
"1242","attent client",-0.0005
"1243","better integrateth",-0.0005
"1244","billion 189",-0.0005
"1245","bit exampl",-0.0005
"1246","central remain",-0.0005
"1247","comprehens health",-0.0005
"1248","dadt policy73th",-0.0005
"1249","faster chew",-0.0005
"1250","fund hivtest",-0.0005
"1251","high voucher",-0.0005
"1252","increas 350",-0.0005
"1253","lawh first",-0.0005
"1254","level capacityalong",-0.0005
"1255","like similaritiestak",-0.0005
"1256","liter lobbi",-0.0005
"1257","log ten",-0.0005
"1258","lowincom children",-0.0005
"1259","navi claim",-0.0005
"1260","page 46",-0.0005
"1261","prohibit humili",-0.0005
"1262","acquisit alaska",-0.0004
"1263","also cynic",-0.0004
"1264","appal prematur",-0.0004
"1265","beneficiari 10year",-0.0004
"1266","bucket adap",-0.0004
"1267","californiado landlord",-0.0004
"1268","certain coupl",-0.0004
"1269","childhood clear",-0.0004
"1270","consid exposur",-0.0004
"1271","cultur current",-0.0004
"1272","direct green",-0.0004
"1273","evalu exposur",-0.0004
"1274","even peopleeighteen",-0.0004
"1275","hardest fund",-0.0004
"1276","lanesa similar",-0.0004
"1277","mandat compromis",-0.0004
"1278","million 88",-0.0004
"1279","minist len",-0.0004
"1280","much organ",-0.0004
"1281","powerless unabl",-0.0004
"1282","qaeda declar",-0.0004
"1283","remain ensconc",-0.0004
"1284","temporari help",-0.0004
"1285","thing truck",-0.0004
"1286","2001 55",-0.0003
"1287","2007mani newli",-0.0003
"1288","2013 lay",-0.0003
"1289","21240 amount",-0.0003
"1290","44 page",-0.0003
"1291","abdul farouk",-0.0003
"1292","alarm reform",-0.0003
"1293","allow osama",-0.0003
"1294","allow stakehold",-0.0003
"1295","alway pastor",-0.0003
"1296","american peoplesuch",-0.0003
"1297","argentina stop",-0.0003
"1298","associ telecommun",-0.0003
"1299","assumpt bless",-0.0003
"1300","avail met",-0.0003
"1301","bomber col",-0.0003
"1302","bridg improv",-0.0003
"1303","bureaus follow",-0.0003
"1304","call enlighten",-0.0003
"1305","capacityalong friend",-0.0003
"1306","civic sector",-0.0003
"1307","communitiesfor inform",-0.0003
"1308","companion prevent",-0.0003
"1309","compunct fight",-0.0003
"1310","coverag mere",-0.0003
"1311","day unreason",-0.0003
"1312","debt 59",-0.0003
"1313","default also",-0.0003
"1314","deficit avoid",-0.0003
"1315","demand minor",-0.0003
"1316","determin bellsouth",-0.0003
"1317","earlier shipbuild",-0.0003
"1318","effectiveoveral studi",-0.0003
"1319","electionchristian may",-0.0003
"1320","everi open",-0.0003
"1321","futur testingthi",-0.0003
"1322","hill come",-0.0003
"1323","host americorp",-0.0003
"1324","lincoln vermont",-0.0003
"1325","manifest bush",-0.0003
"1326","maryland affect",-0.0003
"1327","nielsen energi",-0.0003
"1328","outcom fair",-0.0003
"1329","percentw procurementbut",-0.0003
"1330","popul grew",-0.0003
"1331","presid donald",-0.0003
"1332","presum iraq",-0.0003
"1333","problemin survey",-0.0003
"1334","ralli pointsupport",-0.0003
"1335","reduc greenhous",-0.0003
"1336","report mcclatchi",-0.0003
"1337","rural colleg",-0.0003
"1338","sectarian cleans",-0.0003
"1339","system naval",-0.0003
"1340","1912 demand",-0.0002
"1341","200mile econom",-0.0002
"1342","346 individu",-0.0002
"1343","accru student",-0.0002
"1344","adequ patrol",-0.0002
"1345","alleg telecommun",-0.0002
"1346","almaliki focus",-0.0002
"1347","along appropri",-0.0002
"1348","also sen",-0.0002
"1349","america tarnish",-0.0002
"1350","american alivewait",-0.0002
"1351","american childrenif",-0.0002
"1352","associ 50",-0.0002
"1353","attempt deciph",-0.0002
"1354","avert nightmar",-0.0002
"1355","broader al",-0.0002
"1356","budget rehabilit",-0.0002
"1357","buildout requir",-0.0002
"1358","catalyst state",-0.0002
"1359","commiss stress",-0.0002
"1360","communiti penal",-0.0002
"1361","convent difficult",-0.0002
"1362","cousin evangel",-0.0002
"1363","credibleassess role",-0.0002
"1364","crowd need",-0.0002
"1365","damn set",-0.0002
"1366","data voucher",-0.0002
"1367","decad detail",-0.0002
"1368","develop 60",-0.0002
"1369","discrimin powerless",-0.0002
"1370","dwarf planet",-0.0002
"1371","effortswhich school",-0.0002
"1372","eg famili",-0.0002
"1373","embrac anew",-0.0002
"1374","equip wors",-0.0002
"1375","estim discrimin",-0.0002
"1376","ethnic voucherhold",-0.0002
"1377","europa includ",-0.0002
"1378","european account",-0.0002
"1379","evalu committe",-0.0002
"1380","evalu nyc",-0.0002
"1381","expans septemb",-0.0002
"1382","gain 53",-0.0002
"1383","go underwaterif",-0.0002
"1384","grew 235",-0.0002
"1385","homeland direct",-0.0002
"1386","ideolog 2009",-0.0002
"1387","imposs add",-0.0002
"1388","increas spendingoveral",-0.0002
"1389","invad transform",-0.0002
"1390","involvedjoy mose",-0.0002
"1391","kaiser ask",-0.0002
"1392","latina earn",-0.0002
"1393","light percept",-0.0002
"1394","like entrust",-0.0002
"1395","lowest upfront",-0.0002
"1396","major unexplor",-0.0002
"1397","marriag respons",-0.0002
"1398","million trio",-0.0002
"1399","nation ocean",-0.0002
"1400","osirisrex intend",-0.0002
"1401","overse civic",-0.0002
"1402","page websit",-0.0002
"1403","patrol major",-0.0002
"1404","policymakerspursu legal",-0.0002
"1405","potenti debt",-0.0002
"1406","presid postsecondari",-0.0002
"1407","raceconduct test",-0.0002
"1408","respect ukrain",-0.0002
"1409","skill rural",-0.0002
"1410","supplement grow",-0.0002
"1411","territori aid",-0.0002
"1412","two probe",-0.0002
"1413","volodymyr zelenski",-0.0002
"1414","worth freight",-0.0002
"1415","10000 eb6",-0.0001
"1416","190 adult",-0.0001
"1417","1950s general",-0.0001
"1418","1980 16",-0.0001
"1419","19901991 gulf",-0.0001
"1420","2000 three",-0.0001
"1421","20022009 note",-0.0001
"1422","2003 watersh",-0.0001
"1423","2006 confer",-0.0001
"1424","2007 110",-0.0001
"1425","2007an increas",-0.0001
"1426","2012but futur",-0.0001
"1427","27 2008cut",-0.0001
"1428","2name charl",-0.0001
"1429","3some conserv",-0.0001
"1430","50 communitybas",-0.0001
"1431","63 direct",-0.0001
"1432","abdullah jordan",-0.0001
"1433","abolish abolish",-0.0001
"1434","abund freedom",-0.0001
"1435","accept refus",-0.0001
"1436","access adap",-0.0001
"1437","accommod variat",-0.0001
"1438","accompani consequ",-0.0001
"1439","accomplishedit time",-0.0001
"1440","account embrac",-0.0001
"1441","accountablekhalid sheik",-0.0001
"1442","achiev behaviorthi",-0.0001
"1443","achiev land",-0.0001
"1444","act robust",-0.0001
"1445","advisor saw",-0.0001
"1446","afford incarcer",-0.0001
"1447","afford medicinesst",-0.0001
"1448","affront christian",-0.0001
"1449","africa belarus",-0.0001
"1450","afternoon trump",-0.0001
"1451","age worn",-0.0001
"1452","agenc fccs",-0.0001
"1453","alaska combinedoppon",-0.0001
"1454","aliv opportun",-0.0001
"1455","alivewait list",-0.0001
"1456","alway taught",-0.0001
"1457","ambassador law",-0.0001
"1458","ambassador signific",-0.0001
"1459","america magazin",-0.0001
"1460","america robot",-0.0001
"1461","american bishopsin",-0.0001
"1462","american livestrump",-0.0001
"1463","angel 76",-0.0001
"1464","approv tbell",-0.0001
"1465","aqi attack",-0.0001
"1466","arab linguists35th",-0.0001
"1467","armi john",-0.0001
"1468","assert drawnout",-0.0001
"1469","attent addit",-0.0001
"1470","avert cost",-0.0001
"1471","away along",-0.0001
"1472","back lifelin",-0.0001
"1473","bad meme",-0.0001
"1474","base isolationist",-0.0001
"1475","beyond 200mile",-0.0001
"1476","bill evid",-0.0001
"1477","billionslight 25",-0.0001
"1478","black hispanicour",-0.0001
"1479","blatant religi",-0.0001
"1480","blueprint produc",-0.0001
"1481","build symbol",-0.0001
"1482","bulk leadership",-0.0001
"1483","burnish hardlin",-0.0001
"1484","bush agreement",-0.0001
"1485","cancel 80",-0.0001
"1486","candid coupl",-0.0001
"1487","capac approxim",-0.0001
"1488","colleaguesso quit",-0.0001
"1489","complet grand",-0.0001
"1490","composit correspond",-0.0001
"1491","compromis improv",-0.0001
"1492","conditionnot yet",-0.0001
"1493","conserv strengthen",-0.0001
"1494","corner goe",-0.0001
"1495","correspond school",-0.0001
"1496","court campaign",-0.0001
"1497","cow chicken",-0.0001
"1498","creat logist",-0.0001
"1499","credit profileth",-0.0001
"1500","darwin ship",-0.0001
"1501","deliv know",-0.0001
"1502","despit budgetari",-0.0001
"1503","detect ensur",-0.0001
"1504","differenti treatmenttest",-0.0001
"1505","dip 2001",-0.0001
"1506","discrimin challeng",-0.0001
"1507","dmt call",-0.0001
"1508","doesnt pack",-0.0001
"1509","effect inflationbut",-0.0001
"1510","effort manipul",-0.0001
"1511","eight planet",-0.0001
"1512","elig replac",-0.0001
"1513","elig unitthi",-0.0001
"1514","elimin unless",-0.0001
"1515","endthi yet",-0.0001
"1516","enjoy realli",-0.0001
"1517","enrol adap",-0.0001
"1518","enrol segreg",-0.0001
"1519","ensur find",-0.0001
"1520","enter martian",-0.0001
"1521","entrust volunt",-0.0001
"1522","equal hypocrisymarshal",-0.0001
"1523","even rejectionfor",-0.0001
"1524","explos discov",-0.0001
"1525","express either",-0.0001
"1526","extend emerg",-0.0001
"1527","famili blameless",-0.0001
"1528","feasibl test",-0.0001
"1529","floor voteit",-0.0001
"1530","forumeven violat",-0.0001
"1531","gasp big",-0.0001
"1532","general regular",-0.0001
"1533","go media",-0.0001
"1534","goal governmentrun",-0.0001
"1535","goal partner",-0.0001
"1536","graham state",-0.0001
"1537","grassley clear",-0.0001
"1538","greater volunt",-0.0001
"1539","grew just",-0.0001
"1540","groundin contrast",-0.0001
"1541","growthfrom 2000",-0.0001
"1542","hand opportunist",-0.0001
"1543","haul troop",-0.0001
"1544","heartili recommend",-0.0001
"1545","help site",-0.0001
"1546","hmmwv spend",-0.0001
"1547","ill respons",-0.0001
"1548","j korbask",-0.0001
"1549","joy mose",-0.0001
"1550","launch 2020",-0.0001
"1551","less black",-0.0001
"1552","life ici",-0.0001
"1553","linksread full",-0.0001
"1554","littl uniqu",-0.0001
"1555","locat tradit",-0.0001
"1556","manag plansnyc",-0.0001
"1557","map beyond",-0.0001
"1558","mar 196550",-0.0001
"1559","mission 1960s",-0.0001
"1560","monthsth project",-0.0001
"1561","neighborhood five",-0.0001
"1562","opposit market",-0.0001
"1563","opt larger",-0.0001
"1564","panel q",-0.0001
"1565","past mar",-0.0001
"1566","peopl lawsuit",-0.0001
"1567","percept hcv",-0.0001
"1568","personnel systemat",-0.0001
"1569","philadelphia 67",-0.0001
"1570","phoenix lander",-0.0001
"1571","pictur drive",-0.0001
"1572","pictur facilit",-0.0001
"1573","plane log",-0.0001
"1574","plansnyc civic",-0.0001
"1575","pluto becom",-0.0001
"1576","posit 50",-0.0001
"1577","preliminari reconnaiss",-0.0001
"1578","rough 1000indigen",-0.0001
"1579","tenant democraci",-0.0001
"1580","terror promulg",-0.0001
"1581","transport inventori",-0.0001
"1582","tremend need",-0.0001
"1583","turn adap",-0.0001
"1584","war chew",-0.0001
"1585","went research",-0.0001
"1586","what voyag",-0.0001
"1587","workstudi provid",-0.0001
"1588","year nasa",-0.0001
"1589","10 flew",0
"1590","10000megawatt goal",0
"1591","101000 black",0
"1592","101111 imre12022",0
"1593","1070 29",0
"1594","1070 immigr",0
"1595","1070 leav",0
"1596","11 2001almostonequart",0
"1597","11 jew",0
"1598","11 theimmigrationlinewhosonitandforhowlong",0
"1599","112 ratio",0
"1600","119 139",0
"1601","12 er",0
"1602","12 theme",0
"1603","120000 250000",0
"1604","1278 stephani",0
"1605","13460 20700",0
"1606","14000 previous",0
"1607","15 millionacr",0
"1608","15000 cash",0
"1609","15129 wound",0
"1610","15400even presid",0
"1611","16000a record",0
"1612","168000 estim",0
"1613","17 intellig",0
"1614","17 yearsdiffer",0
"1615","17415 built",0
"1616","1749 victim",0
"1617","19 2007victori",0
"1618","1918 worldwid",0
"1619","1960 2009",0
"1620","1960 john",0
"1621","1960s 23",0
"1622","1960s import",0
"1623","1962 marin",0
"1624","196550 year",0
"1625","1970 taught",0
"1626","1970s european",0
"1627","1970s someth",0
"1628","1973 pioneer",0
"1629","1974explor outer",0
"1630","1976 send",0
"1631","1980s newli",0
"1632","1982 replac",0
"1633","1985 odom",0
"1634","1986 27000",0
"1635","1988 brother",0
"1636","1989 voyag",0
"1637","1994 address",0
"1638","1997 deploy",0
"1639","1998 arctic",0
"1640","1999continu advanc",0
"1641","1mbps set",0
"1642","2 2008train",0
"1643","2 becam",0
"1644","2 conclusionwhil",0
"1645","2000 nativ",0
"1646","2001 big",0
"1647","2001 plan",0
"1648","2001yet one",0
"1649","2002 nuclear",0
"1650","2002 pakistani",0
"1651","20022011 3",0
"1652","20022011 6",0
"1653","20022011 jacquellena",0
"1654","2004 favor",0
"1655","2004 phoenix",0
"1656","2004 said",0
"1657","2005 kidnap",0
"1658","2005 offens",0
"1659","2005 paid",0
"1660","2005 remov",0
"1661","2006 titl",0
"1662","2006is congression",0
"1663","2006testimoni senat",0
"1664","2007 chairman",0
"1665","2007 oversaw",0
"1666","2007 veto",0
"1667","200709 put",0
"1668","2007the futur",0
"1669","2007victori option",0
"1670","2008 davi",0
"1671","20087 ann",0
"1672","2008cut run",0
"1673","2008train local",0
"1674","2009 1965",0
"1675","2009 appar",0
"1676","2010 135",0
"1677","2010 346",0
"1678","2010 formal",0
"1679","2010 fundingboth",0
"1680","2010 usg",0
"1681","20100 fatal",0
"1682","2011 month",0
"1683","2012 announc",0
"1684","2012the achiev",0
"1685","2013 1007am",0
"1686","2013 341pm",0
"1687","2016 osirisrex",0
"1688","2017the fbi",0
"1689","2018 fedscop",0
"1690","2018will showcas",0
"1691","2019cost economi",0
"1692","2020 initi",0
"1693","2022 farthest",0
"1694","2025 coalit",0
"1695","20700 respect",0
"1696","21st centuryfocus",0
"1697","22 coal",0
"1698","22000 eb2",0
"1699","24 decemb",0
"1700","25 2019cost",0
"1701","25 struck",0
"1702","28illeg alien",0
"1703","301 per",0
"1704","3200 marinesto",0
"1705","3223 dead",0
"1706","34000 megawatt",0
"1707","341pm atlas",0
"1708","352pm profit",0
"1709","3638 millionth",0
"1710","37 speci",0
"1711","3811 peopl",0
"1712","39 ad",0
"1713","400 case",0
"1714","4000 test",0
"1715","4035 drug",0
"1716","41000 fewer",0
"1717","42 fish",0
"1718","437500 children",0
"1719","46 70",0
"1720","46 maryland",0
"1721","48 like",0
"1722","500 latino",0
"1723","5000 communitybas",0
"1724","5000 like",0
"1725","50000yet presid",0
"1726","535 loan",0
"1727","56 recommend",0
"1728","6 sen",0
"1729","6000 receiv",0
"1730","601000 entir",0
"1731","64000 peoplemor",0
"1732","65000 1986",0
"1733","65160 mediareport",0
"1734","7 exact",0
"1735","71 along",0
"1736","725 mile",0
"1737","77700 hispan",0
"1738","80000 concern",0
"1739","825000as last",0
"1740","8735 unit",0
"1741","880 hourhow",0
"1742","9 becam",0
"1743","90 point",0
"1744","905am cap",0
"1745","958am administr",0
"1746","960 8",0
"1747","abandon creationinstead",0
"1748","abandon secret",0
"1749","abdullah said",0
"1750","abdullah talk",0
"1751","abdulmutallab prevent",0
"1752","abid thembut",0
"1753","abound budget",0
"1754","abroad influenti",0
"1755","abroadthes demand",0
"1756","absolutist think",0
"1757","abus holist",0
"1758","abus treatmentbut",0
"1759","aca cover",0
"1760","acceler ofit",0
"1761","access 400",0
"1762","access behavior",0
"1763","access benefitstoday",0
"1764","access nces",0
"1765","accid 2015succumb",0
"1766","accident encount",0
"1767","acclaim albeit",0
"1768","accomplish gate",0
"1769","accomplish goaleven",0
"1770","accomplish technolog",0
"1771","accord beliefsunfortun",0
"1772","accord secur",0
"1773","account diminish",0
"1774","accountssuch even",0
"1775","accredit council",0
"1776","accur accord",0
"1777","accuraci prewar",0
"1778","accus access",0
"1779","accus acic",0
"1780","accus dual",0
"1781","achiev bradi",0
"1782","achiev except",0
"1783","achiev ittom",0
"1784","achiev unveil",0
"1785","acic accredit",0
"1786","aclu request",0
"1787","acongression hear",0
"1788","acorn center",0
"1789","acquisit elimin",0
"1790","across countryinclud",0
"1791","act announc",0
"1792","act peak",0
"1793","act round",0
"1794","actelig student",0
"1795","activ takedown",0
"1796","activist howev",0
"1797","actor first",0
"1798","actor iranian",0
"1799","actsthat becom",0
"1800","ad cartier",0
"1801","adam hersha",0
"1802","add frustrat",0
"1803","add hypocrisysen",0
"1804","add nominationsend",0
"1805","addict includ",0
"1806","addit volunt",0
"1807","address seoul",0
"1808","addressst attempt",0
"1809","adelstein argu",0
"1810","adequateforc impos",0
"1811","adjust indic",0
"1812","administr analyt",0
"1813","administr backward",0
"1814","administr laura",0
"1815","administr phoni",0
"1816","administr requirementthat",0
"1817","administr stonewal",0
"1818","administr thatcan",0
"1819","administr unwarr",0
"1820","administr willpursu",0
"1821","administrationthepresid also",0
"1822","admir set",0
"1823","admiss fault",0
"1824","admit militari",0
"1825","adopt 2006is",0
"1826","adult greater",0
"1827","adult healthth",0
"1828","adulthood grow",0
"1829","advanc present",0
"1830","advanc ship",0
"1831","advertis make",0
"1832","advic member",0
"1833","advis immedi",0
"1834","advoc center",0
"1835","advoc discredit",0
"1836","advoc invest",0
"1837","advocaci press",0
"1838","aecom aegi",0
"1839","aegi clean",0
"1840","affair firm",0
"1841","affect must",0
"1842","affect sector",0
"1843","affection portrait",0
"1844","affidavit document",0
"1845","affili don t",0
"1846","afghanistan acceler",0
"1847","againfortun senat",0
"1848","againstpresid bush",0
"1849","age retire",0
"1850","age whiter",0
"1851","agenc connect",0
"1852","agenc enforcefeder",0
"1853","agenc feb",0
"1854","agenc frozenmoreov",0
"1855","agenc panel",0
"1856","agency refus",0
"1857","agenda apromis",0
"1858","agenda caus",0
"1859","agenda frenzi",0
"1860","agenda worsen",0
"1861","aggress beyond",0
"1862","aggress court",0
"1863","ago epa",0
"1864","ago10 signific",0
"1865","agoth ironi",0
"1866","agrastafrica avert",0
"1867","agreement 1950s",0
"1868","agreement predecessor",0
"1869","agreementno matter",0
"1870","aid peopl",0
"1871","aim potenti",0
"1872","aim year",0
"1873","air inde",0
"1874","aircraft procur",0
"1875","airplan 2002",0
"1876","airpow averag",0
"1877","airtim haul",0
"1878","alabadi respons",0
"1879","alabamadont drive",0
"1880","alarm grow",0
"1881","alarm might",0
"1882","alaska invest",0
"1883","alaska maryland",0
"1884","alaska upfront",0
"1885","alik domest",0
"1886","alleg problemin",0
"1887","alli pour",0
"1888","allow workforc",0
"1889","allwork nativ",0
"1890","almost gas",0
"1891","along drop",0
"1892","along rug",0
"1893","alreadi chairman",0
"1894","alreadi compris",0
"1895","alreadi isol",0
"1896","alsherif egypt",0
"1897","alsherif murder",0
"1898","also firstand",0
"1899","ambassador confirm",0
"1900","ambassador michael",0
"1901","ambassador yet",0
"1902","america lowtax",0
"1903","america ruy",0
"1904","america theyd",0
"1905","american 3223",0
"1906","american perpetr",0
"1907","american probe",0
"1908","amid partisan",0
"1909","among nondefault",0
"1910","among slowest",0
"1911","analysi 612",0
"1912","angel californiado",0
"1913","anger popul",0
"1914","anschutz compani",0
"1915","anschutz corpor",0
"1916","anschutz link",0
"1917","anschutz project",0
"1918","anticip court",0
"1919","anxieti run",0
"1920","apart show",0
"1921","appear scrutin",0
"1922","aqi estim",0
"1923","aqi recruit",0
"1924","aqi strength",0
"1925","architect global",0
"1926","area feasibl",0
"1927","arena world",0
"1928","argu fy",0
"1929","argu heighten",0
